Gene,Coefficient(Slope),P-Value,Q-Value
DDX11L1,-0.0816393141453597,0.2828943406991835,0.6780422288909789
WASH7P,-0.0071190776813148,0.90035030025747,1.0
MIR6859-1,-0.0186880463170826,0.1770654515324112,0.5464967076203422
MIR1302-2HG,-0.0424868312769588,0.2372036442020758,0.6267686068013262
FAM138A,-0.0319757466793268,0.3693573514304271,0.7476993670012562
OR4G4P,-0.0778780795183869,0.0757616776847091,0.3668978910356554
OR4G11P,-0.0936703299848649,0.0764725623904042,0.36823852050523176
OR4F5,-0.1290976283801865,0.0295866748311097,0.2173003250136167
RP11-34P13.7,0.3536937324439507,0.0094806681737332,0.1110657389682215
CICP27,0.3929122934862266,0.0014632079779734,0.03697230629374762
RP11-34P13.15,0.1494982602566794,0.0692632052278215,0.34972409358095
RP11-34P13.16,0.1355628175689471,0.0846444114718414,0.3877901738058716
RP11-34P13.14,0.2546764852775896,0.0177823040610334,0.16143133981860183
RP11-34P13.13,-0.0697547301769473,0.4107378752822649,0.7798891105324324
RNU6-1100P,0.0095862387726387,0.6096040470126154,0.8805732314056227
RP11-34P13.9,0.0520068251418605,0.0815184797836046,0.3807349621017678
ABC7-43046700E7.1,-0.074591247868609,0.5214027563276015,0.8298342960388899
RP11-34P13.18,-0.0824518976514881,0.0957648531513191,0.41383637008128016
MIR6859-2,-0.0021006181434651,0.8380368625616692,0.9909049529708059
AP006222.2,0.2035254914445135,0.0741080057866605,0.3629736454248493
RPL23AP24,0.063867840538714,0.3508780677515746,0.732257573753937
RP5-857K21.15,0.001810966605092,0.9145204744439728,1.0
RP4-669L17.2,-0.0716009459031127,0.0366209326009336,0.2449495817128389
RP4-669L17.10,0.018269834618094,0.801866295691021,0.9761413534894333
WBP1LP7,0.0410923123424331,0.3272004731581489,0.7132742974343994
OR4F29,0.020626909061553,0.7117575536447511,0.9340449127061119
CICP7,0.0582322806723797,0.371338646329184,0.7490437252587501
RP4-669L17.8,0.0641102417798428,0.6125983070655251,0.8824234618148539
U6,0.0836919893321242,0.0117621772130909,0.12601801561035877
RP5-857K21.4,-0.0342442901902343,0.6445048119487176,0.8997399566573081
RP5-857K21.2,-0.0131751147156402,0.2716597470359815,0.6654457073201276
MTND1P23,0.0305990284013869,0.862140123721503,1.0
MTND2P28,-0.103456289006043,0.2304018133667449,0.6198243628501127
MTCO1P12,-0.1753470520075131,0.0936030565138288,0.4093569832664054
MTCO2P12,-0.1940681263325875,0.0354721859792388,0.24103639740498786
MTATP8P1,-0.1049715467954597,0.3029769554675305,0.6977666954171103
MTATP6P1,-0.1787238830928394,0.0153712677497213,0.14865336563202572
MTCO3P12,-0.1819565592898308,0.0761170770910972,0.3674403990235369
WBP1LP6,-0.062781826412891,0.0486334395183274,0.288241963976173
OR4F16,-0.0232745311360903,0.6225336015023162,0.8883183453496843
RP11-206L10.17,0.0,1.0,1.0
CICP3,0.1211150189348438,0.1330325284604764,0.49214012290535525
RP11-206L10.2,0.0049467778572209,0.9381307249346388,1.0
RNU6-1199P,0.0297503070588221,0.0755762128966439,0.36654731827057424
RP11-206L10.4,0.0401109017320852,0.3570300990512481,0.7367474778336945
RP11-206L10.9,0.1842606375198942,0.0116026799190652,0.125213966283487
RP11-206L10.8,0.0854239383518812,0.3005110285653497,0.6949586005058657
FAM87B,0.0373324140878445,0.6533684846696229,0.9045391503330728
LINC01128,-0.0731873923814591,0.2509819585953312,0.6406756861559605
LINC00115,-0.0949226814095484,0.1957630781140773,0.5746678475239936
FAM41C,0.0249618586500849,0.751622714533836,0.9536590674990862
TUBB8P11,-0.0475926072838792,0.5500572544223843,0.8467646347454901
FAM166AP3,0.0008562949576786,0.982532388524704,1.0
RP11-54O7.16,-0.0296939900403409,0.5673150827636806,0.8570640081424301
RP11-54O7.1,0.0544216978541268,0.5086037665401582,0.8218107520080342
RP11-54O7.2,-0.0085434066085259,0.1712027830999991,0.5377928727196702
RP11-54O7.3,0.0063091799261836,0.9349737304134312,1.0
SAMD11,-0.079090739068945,0.3779369737219228,0.7537418527145483
NOC2L,-0.1498417329911651,0.0005408106038234,0.020249610757151613
KLHL17,-0.1528888834070531,0.0106901607298164,0.11922313678491052
PLEKHN1,-0.2181435494208308,0.0006455984463196,0.022334924196121424
PERM1,-0.1341763956457335,0.2020489848373909,0.5846943111711022
RP11-54O7.17,-0.2046082417099231,0.1446326569946538,0.5136279078393973
HES4,-0.445706465158733,0.0064126693520047,0.08752011131616014
ISG15,-0.1187369322857568,0.2707622659726621,0.6648117776140948
RP11-54O7.10,0.0196021007413018,0.3767164681989181,0.7527335338204618
RP11-54O7.11,0.0184676359554272,0.6884180395472316,0.9229643547815636
AGRN,0.0268920262800642,0.727480789286723,0.9423778859772864
RP11-465B22.3,-0.0903753610515382,0.265264265223188,0.6591117924286258
RP11-54O7.18,-0.0599398317898008,0.4271845112601697,0.7931768369974962
RNF223,-0.0484438760047717,0.5523781873747924,0.848277870127561
C1orf159,-0.2094055797438449,0.0005673604344645,0.02074570719242196
LINC01342,0.2753266017344791,0.0293617284820702,0.21623033607084532
MIR200B,0.0428088588901041,0.0145040177948925,0.14380736277856362
MIR200A,0.010591392452807,0.5442539844188741,0.8433936108715879
MIR429,-0.0027982455647942,0.8795021995775343,1.0
RP11-465B22.8,0.0500336113969777,0.5407817502051945,0.8409032152653003
TTLL10-AS1,-0.0243742561613733,0.7622857146862654,0.9589966754886067
